Groups,Variables,Code,Name,Source,Sub-vars,Location,New loc,Note,Todo
general,merging,id,,,id,1,1,none,none
,merging,nq,,,Numéro_questionnaire,5,2,? Remove the one <=0 & = 40000,think
,merging,mvinyr,,questionnaire,Q20_ann_occup,300,3,movin year to current dwelling,use to make connection with data from water utilities if I've ever have it
,use for professional purpose,prfuse,,,Q11_prof_ville,257,4,remove household using distribution water for professional use,
,othersource,othwatsc,,Cedric,Ressaltint,594,5,other source of water to use at least for 1 inside,
,,,,Cedric,Ressaltext,595,6,other source of water to use for only outside,
,,,,,Q11_boiss_bout,186,7,,
,,,,,Q11_boiss_pluie,187,8,,
,,,,,Q11_boiss_puits,188,9,,
,,,,,Q11_boiss_autre,189,10,,
,,,,,Q11_cafe_bout,192,11,,
,,,,,Q11_cafe_pluie,193,12,,
,,,,,Q11_cafe_puits,194,13,,
,,,,,Q11_cafe_autre,195,14,,
,,,,,Q11_repas_bout,198,15,,
,,,,,Q11_repas_pluie,199,16,,
,,,,,Q11_repas_puits,200,17,,
,,,,,Q11_repas_autre,201,18,,
,,,,,Q11_vaiss_bout,204,19,,
,,,,,Q11_vaiss_pluie,205,20,,
,,,,,Q11_vaiss_puits,206,21,,
,,,,,Q11_vaiss_autre,207,22,,
,,,,,Q11_hyg_bout,210,23,,
,,,,,Q11_hyg_pluie,211,24,,
,,,,,Q11_hyg_puits,212,25,,
,,,,,Q11_hyg_autre,213,26,,
,,,,,Q11_linge_bout,216,27,,
,,,,,Q11_linge_pluie,217,28,,
,,,,,Q11_linge_puits,218,29,,
,,,,,Q11_linge_autre,219,30,,
,,,,,Q11_nett_bout,222,31,,
,,,,,Q11_nett_pluie,223,32,,
,,,,,Q11_nett_puits,224,33,,
,,,,,Q11_nett_autre,225,34,,
,,,,,Q11_WC_bout,228,35,,
,,,,,Q11_WC_pluie,229,36,,
,,,,,Q11_WC_puits,230,37,,
,,,,,Q11_WC_autre,231,38,,
,,,,,Q11_jard_bout,234,39,,
,,,,,Q11_jard_pluie,235,40,,
,,,,,Q11_jard_puits,236,41,,
,,,,,Q11_jard_autre,237,42,,
,,,,,Q11_voit_bout,240,43,,
,,,,,Q11_voit_pluie,241,44,,
,,,,,Q11_voit_puits,242,45,,
,,,,,Q11_voit_autre,243,46,,
,,,,,Q11_ext_bout,246,47,,
,,,,,Q11_ext_pluie,247,48,,
,,,,,Q11_ext_puits,248,49,,
,,,,,Q11_ext_autre,249,50,,
,,,,,Q11_pisc_bout,252,51,,
,,,,,Q11_pisc_pluie,253,52,,
,,,,,Q11_pisc_puits,254,53,,
,,,,,Q11_pisc_autre,255,54,,
,weight,,,,Pondérationprov,484,55,,
,,,,,Pondérationage,485,56,,
,,,,,Pondérationstatut,486,57,,
,,,,,Pondérationstatgeo,487,58,,
,,,,,Pondérationstatgeocorr,488,59,,
,,,,,POIDS_GeoStatAgePers1,489,60,,
,,,,,POIDS_Geo_Stat_AgeP1_AgeL,490,61,,
,,,,,PondArrEvol,491,62,,
outcome,consumption,distr,,,Q1_uti_eau,8,63,"oui: use distribution, non:not",
,,consr,,,Q1_conso_eau,16,64,self reported water use,just for checking
,,consv,,,Consoeauverif,17,65,verified water use,mainly use this one
,,dfcsu,,,Diffconseau,18,66,difference between reported and actual consumption,just for quick screening problems
,,cspc,,,PCWC,19,67,water consumption per person per day,recalculate by myself
,,csppp,,,PCWCTm1only,20,68,consumption per person permenant?,more likely I will not use it
intervention,,,,,Q29_cit,464,69,* help to install rain water  tank,
spatial,address,rcp,,,CP,7,70,reported code postal,
,,cp,,,Code_postal,477,71,,
,,mun,,,Commune,478,72,Municipal,
,,,,,Arr,479,73,,
,,,,,Arr_group,480,74,,
,,,,,Province,481,75,,
,,,,,Distributeur,482,76,*might be used for price also,
physical properties,dwelling,own,,,Q14_stat_occup,265,77,"whether they own or rent the place, still paying for the house or not",
,,type,,,Q15_type_log,266,78,type of dwelling,
,,,,,Q15_autre_type_log,267,79,,
,,cstyear,,,Q17_ann_constr,269,80,construction year,
,,,,,PeriodeConstr_6classes,548,81,,
,,,,,PeriodeConstr_Simulateur,583,82,,
,,area,,,Q16_superf_hab,268,83,total living area in m2,
,,,,,Q16_superf_hab_COR,492,84,,
,,,,,Q16_superf_hab_COR_CAT,493,85,,
,,,,,Superf_hab_Nb_Decile,494,86,,
,,,,,Superf_hab_MoyenneDeDecile,495,87,,
,,,,,Q16_superf_hab_CATEG,582,88,,
,number of rooms,kitchen,,,Q18_0_cuis,270,89,,
,,,,,Q18_1_cuis,271,90,,
,,,,,Q18_2_cuis,272,91,,
,,,,,Q18_3plus_cuis,273,92,,
,,,,,Nb_cuisines,496,93,,
,,dinning,,,Q18_0_sal,275,94,,
,,,,,Q18_1_sal,276,95,,
,,,,,Q18_2_sal,277,96,,
,,,,,Q18_3plus_sal,278,97,,
,,,,,Nb_salons,497,98,,
,,bedroom,,,Q18_0_cham,280,99,,
,,,,,Q18_1_cham,281,100,,
,,,,,Q18_2_cham,282,101,,
,,,,,Q18_3plus_cham,283,102,,
,,,,,Nb_chambres,498,103,,
,,bathroom,,,Q18_0_sdb,285,104,,
,,,,,Q18_1_sdb,286,105,,
,,,,,Q18_2_sdb,287,106,,
,,,,,Q18_3plus_sdb,288,107,,
,,,,,Nb_SDB,499,108,,
,,WC,,,Q18_0_toil,290,109,,
,,,,,Q18_1_toil,291,110,,
,,,,,Q18_2_toil,292,111,,
,,,,,Q18_3plus_toil,293,112,,
,,,,,Nb_WC,500,113,,
,pool,distwater,,,Q11_pisc_ville,251,114,use distribution water for pool,
,,permpool,,,Q24_pisc_perm_pres,355,115,,
,,,,,Q24_pisc_perm_rempl,356,116,,
,,temppool,,,Q24_pisc_temp_pres,357,117,,
,,,,,Q24_pisc_temp_rempl,358,118,,
,garden,distgar,,,Q11_jard_ville,233,119,use distribution water for garden,
,rainwater tank,,,,Q24_cit_pres,353,120,,
,,,,,Q24_cit_rempl,354,121,,
,private well,,,,Puits,597,122,,
Technology,dishwasher,,,,Q23_vais_pres,320,123,,
,,,,,Q23_vais_rempl,321,124,,
,washingmachine,,,,Q23_lav_pres,323,125,,
,,,,,Q23_lav_rempl,324,126,,
,bathtub/shower,,,,Q24_baig_pres,335,127,,
,,,,,Q24_baig_rempl,336,128,,
,,,,,Q24_dou_pres,337,129,,
,,,,,Q24_dou_rempl,338,130,,
,saving tech,economised showerhead,,,Q24_pom_pres,339,131,,
,,,,,Q24_pom_rempl,340,132,,
,,economised wc,,,Q24_wc_pres,341,133,,
,,,,,Q24_wc_rempl,342,134,,
,,dried toillet,,,Q24_toi_sech_pres,343,135,,
,,,,,Q24_toi_sech_rempl,344,136,,
socio-demography,household size,,,,NB_PERS_14plus,502,137,,
,,,,,NB_PERS_moins14,503,138,,
,,,,,EQUIVAL_ADULTE,504,139,,
,,,,,NB_PERS,558,140,,
,,,,,Tmtot,389,141,,
,,,,,Tmstdard,390,142,,
,,dah1,,,Q26_pers1_occ,402,143,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers2_occ,403,144,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers3_occ,404,145,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers4_occ,405,146,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers5_occ,406,147,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers6_occ,407,148,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers7_occ,408,149,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers8_occ,409,150,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26_pers9_occ,410,151,"stay at home the whole week, half a week and more, or less than half a week",
,,,,,Q26p1occ,412,152,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p2occ,413,153,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p3occ,414,154,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p4occ,415,155,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p5occ,416,156,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p6occ,417,157,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p7occ,418,158,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p8occ,419,159,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,,,,Q26p9occ,420,160,"1 for whole week, 0.5 for half week and more, 0.15 for less than half",
,,inocc,,,Q27_inocc,451,161,"number of weeks/ year, no one at home",
,,,,,PrésenceDansLog,519,162,,
,,,,,PrésenceDansLogSemain,520,163,,
,income,income,,,Q28_rev,452,164,,
,birthyear/age,bthy1,,,Q26_pers1_naiss,379,165,,
,,bthy2,,,Q26_pers2_naiss,380,166,,
,,bthy3,,,Q26_pers3_naiss,381,167,,
,,bthy4,,,Q26_pers4_naiss,382,168,,
,,bthy5,,,Q26_pers5_naiss,383,169,,
,,bthy6,,,Q26_pers6_naiss,384,170,,
,,bthy7,,,Q26_pers7_naiss,385,171,,
,,bthy8,,,Q26_pers8_naiss,386,172,,
,,bthy9,,,Q26_pers9_naiss,387,173,,
,,agep1,,,AgeP1,483,174,,
,,agep1c,,,AgeP1_5classes,549,175,,
,gender,gdr1,,,Q26_pers1_sexe,391,176,,
,,gdr2,,,Q26_pers2_sexe,392,177,,
,,gdr3,,,Q26_pers3_sexe,393,178,,
,,gdr4,,,Q26_pers4_sexe,394,179,,
,,gdr5,,,Q26_pers5_sexe,395,180,,
,,gdr6,,,Q26_pers6_sexe,396,181,,
,,gdr7,,,Q26_pers7_sexe,397,182,,
,,gdr8,,,Q26_pers8_sexe,398,183,,
,,gdr9,,,Q26_pers9_sexe,399,184,,
,job,job1,,,Q26_pers1_act,421,185,,
,,job2,,,Q26_pers2_act,422,186,,
,,job3,,,Q26_pers3_act,423,187,,
,,job4,,,Q26_pers4_act,424,188,,
,,job5,,,Q26_pers5_act,425,189,,
,,job6,,,Q26_pers6_act,426,190,,
,,job7,,,Q26_pers7_act,427,191,,
,,job8,,,Q26_pers8_act,428,192,,
,,job9,,,Q26_pers9_act,429,193,,
,unjob,unjob1,,,Q26_pers1_inact,431,194,,
,,unjob2,,,Q26_pers2_inact,432,195,,
,,unjob3,,,Q26_pers3_inact,433,196,,
,,unjob4,,,Q26_pers4_inact,434,197,,
,,unjob5,,,Q26_pers5_inact,435,198,,
,,unjob6,,,Q26_pers6_inact,436,199,,
,,unjob7,,,Q26_pers7_inact,437,200,,
,,unjob8,,,Q26_pers8_inact,438,201,,
,,unjob9,,,Q26_pers9_inact,439,202,,
,education,educ1,,,Q26_pers1_dipl,441,203,,
,,educ2,,,Q26_pers2_dipl,442,204,,
,,educ3,,,Q26_pers3_dipl,443,205,,
,,educ4,,,Q26_pers4_dipl,444,206,,
,,educ5,,,Q26_pers5_dipl,445,207,,
,,educ6,,,Q26_pers6_dipl,446,208,,
,,educ7,,,Q26_pers7_dipl,447,209,,
,,educ8,,,Q26_pers8_dipl,448,210,,
,,educ9,,,Q26_pers9_dipl,449,211,,
,,educ1cl,,,Dipl_P1_6classes,550,212,,
,help,difpay,,,Q8_fd_eau,171,213,,
,,,,,Q8_pas_aide,175,214,use to check correctness of 171,
,,,,,Q10_probl_fact_eau,181,215,not paying in time due to finance reason,
,,,,,TauxEffortHydrique,596,216,,
,,,,,TEH2,598,217,,
,,,,,TEH3,599,218,,
attitude,confident,confi,,,Q12_conf_eau,263,219,confident in water quality,
,,reas,,,Q13_param_eau,264,220,reason why not confident in water quality,
,pay as use,payperuse,,,Q7_paye_eau,89,221,"charges locatives, NSP, par an, pas usager, tous les mois, tous les 2 mois, tous les 3 mois, tous les 6 mois, NULL",
,,,,,Q7_paye_charg_loc,98,222,"par un, pas usager, tous les 3 mois, tous les mois, #NULL
if par un, 3 mois, tous les mois >>> the above sould be charges locatives",
,,,,,Q7_eau_1mois,99,223,,
,,,,,Q7_eau_2mois,100,224,,
,,,,,Q7_eau_3mois,101,225,,
,,,,,Q7_eau_6mois,102,226,,
,,,,,Q7_eau_1an,103,227,,
,,,,,Factureeau1an,104,228,,
,,,,,Factureeaucalculée,105,229,,
,,,,,Q7_charges_1mois,166,230,,
,,,,,Q7_charges_2mois,167,231,,
,,,,,Q7_charges_3mois,168,232,,
,,,,,Q7_charges_6mois,169,233,,
,,,,,Q7_charges_1an,170,234,,
,,,,,Q9_compt_budg_eau,178,235,,
,,,,,Q9_lim_eau,179,236,,
,,,,,Q9_neant,180,237,use to check correctness of 179 and 178,
